品牌,车系,上牌时间,里程,价格
雪铁龙,天逸 C5 AIRCROSS,2018年,1.8万公里,12.50万
雪铁龙,天逸 C5 AIRCROSS,2017年,4.6万公里,15.00万
雪铁龙,天逸 C5 AIRCROSS,2018年,1.8万公里,11.60万
雪铁龙,天逸 C5 AIRCROSS,2018年,0.4万公里,13.55万
雪铁龙,雪铁龙C6,2017年,4.9万公里,13.54万
雪铁龙,雪铁龙C6,2017年,5.1万公里,16.15万
雪铁龙,雪铁龙C6,2017年,3.9万公里,16.56万
雪铁龙,世嘉,2016年,10.5万公里,5.73万
雪铁龙,世嘉,2013年,5.2万公里,4.20万
雪铁龙,世嘉,2015年,6.9万公里,5.50万
雪铁龙,世嘉,2014年,6.8万公里,3.30万
雪铁龙,世嘉,2015年,4.4万公里,5.73万
雪铁龙,世嘉,2012年,5.1万公里,3.00万
雪铁龙,世嘉,2014年,3.1万公里,4.00万
雪铁龙,世嘉,2014年,4.3万公里,5.30万
雪铁龙,世嘉,2010年,10.7万公里,2.00万
雪铁龙,世嘉,2014年,6.2万公里,4.70万
雪铁龙,世嘉,2013年,7.8万公里,3.20万
雪铁龙,世嘉,2012年,12.2万公里,2.80万
雪铁龙,世嘉,2012年,7.0万公里,3.00万
雪铁龙,世嘉,2013年,11.5万公里,2.40万
雪铁龙,世嘉,2014年,6.0万公里,3.63万
雪铁龙,世嘉,2013年,6.2万公里,3.20万
雪铁龙,雪铁龙C3-XR,2016年,5.0万公里,6.60万
雪铁龙,世嘉,2014年,8.2万公里,3.70万
雪铁龙,雪铁龙C3-XR,2015年,3.8万公里,6.20万
雪铁龙,雪铁龙C3-XR,2015年,8.2万公里,5.00万
雪铁龙,世嘉,2016年,10.3万公里,4.70万
雪铁龙,雪铁龙C3-XR,2016年,4.9万公里,6.25万
雪铁龙,世嘉,2015年,3.4万公里,5.00万
雪铁龙,雪铁龙C3-XR,2015年,3.4万公里,5.58万
雪铁龙,世嘉,2013年,12.5万公里,3.70万
雪铁龙,雪铁龙C3-XR,2015年,9.4万公里,5.80万
雪铁龙,雪铁龙C3-XR,2016年,7.2万公里,6.50万
雪铁龙,世嘉,2012年,5.3万公里,3.30万
